NodeIndex,MeanLogU_0.1,MeanLogU_0.3,MeanLogU_0.5,MeanLogU_0.7,MeanLogU_0.9
144,-0.003328472899736201,-0.5293880740182744,-1.990538166388136,-4.359741126002761,-7.259311120917447
145,-0.20549183078592576,-0.7467367226736906,-2.017411365412962,-4.27936647816883,-7.282382228054051
146,-0.056582650756973135,-0.671562231378749,-2.0944093154091004,-4.373458340482264,-7.1080617721178845
147,-0.014313437161797032,-0.9187846767531493,-2.03179491434131,-4.432733134860666,-7.300311629386742
148,-0.11934069351122217,-0.8598304737677418,-2.252454881158649,-4.39109489536234,-7.388139390219632
149,-0.17076141034242673,-0.7047344808642381,-2.1402135344288795,-4.556750317911225,-7.5603973996019
150,-0.24731335154549103,-0.7015893875787202,-2.310364602339471,-4.546504061109617,-7.549703128601834
151,-0.043018720927220755,-0.9083843520857574,-2.3126838783840595,-4.632274277392614,-7.518705924270181
152,-0.15270280447066684,-0.8474171152443734,-2.233831756387708,-4.597007707664224,-7.577383493466263
153,-0.0071899177651983115,-0.8446323827400946,-2.3267318724974815,-4.655687388560996,-7.503689101003707
154,0.024907668381148912,-0.6956859841511018,-2.4002049851851246,-4.630650006894769,-7.697473614236669
155,-0.28825643073400115,-0.8009042076414495,-2.243587161095841,-4.757885893762043,-7.763879158999153
156,-0.20278766887647867,-0.7758211588706465,-2.31846585664676,-4.795682959461883,-7.80169963372813
157,-0.1672980353790881,-0.6750758368381223,-2.211968479796226,-4.546154881183868,-7.840295754830302
158,-0.2626408334379678,-0.7365376945126442,-2.5023600114500955,-4.516123703386137,-7.906184303911913
159,-0.24067302937564009,-0.8960088557648213,-2.4270719815029125,-4.613606227556077,-7.933234582829001
160,-0.008201317101838024,-0.7932770118194935,-2.451725445043139,-4.785919839680123,-7.934609266260718
161,-0.22277956989077802,-0.9126176879780057,-2.4382677283604766,-5.031754961438374,-7.919757158899512
162,-0.13571418717743156,-0.7973945507997712,-2.3578654300177724,-4.768094142773507,-8.141016937902279
163,-0.3530427215982815,-0.6974861107788397,-2.560926345363693,-4.894413434220979,-8.283108413809261
164,-0.23060320747165033,-0.7332551110570462,-2.3529166825334706,-4.9616811316445935,-8.138264983221097
165,-0.2443734111920467,-0.7550939509880238,-2.5248975553365014,-4.8977873618073255,-8.093081271966126
166,-0.24692707440366968,-0.7825492580503316,-2.3741748605977193,-4.923865871311972,-8.308208703087047
167,-0.1797865197910466,-0.7390925025256674,-2.3548944646287557,-4.853756820572086,-8.281811931878094
168,-0.18154543253304523,-0.8117766276090599,-2.335703820860235,-4.831117172211847,-8.47257743276941
169,-0.31688339414275346,-0.7690446069660803,-2.6363259186673886,-5.036960439370525,-8.429560027442468
170,-0.2192904573067006,-0.8345275096382521,-2.5876427665428614,-5.163034888460907,-8.544320665840072
171,-0.09150527468918952,-0.8017924684326949,-2.4902378465865778,-5.110575816232672,-8.581608081284537
172,-0.28122135141423876,-0.8345030048348583,-2.4856366231148255,-5.292383070358,-8.661136868625462
173,0.03565146418438503,-0.7657289212001734,-2.6375561707415875,-5.226609838432498,-8.69069463400046
174,-0.042334700456081426,-0.76300832582369,-2.529422205475882,-5.326112985196205,-8.736914813677558
175,-0.2216413875600603,-0.9281279790251951,-2.619314681589887,-5.156107288049052,-8.731934288194752
176,-0.3897312179185719,-0.9833309638880713,-2.695135829226094,-5.152535643559926,-8.786492544741995
177,-0.3924916172326446,-0.9037094721227207,-2.7154188417960916,-5.335197791114017,-8.753137800757768
178,-0.2530371008166024,-0.7003984285620942,-2.546503131380256,-5.291122998015833,-8.909431686188595
179,-0.2518036490639299,-0.8269223576283558,-2.6953110524922503,-5.330934988864283,-9.04476280520355
